scientific_name,common_name,city,state,height_M,tree_count,avg_mean
Roystonea regia,,Cape Coral,Florida,,743,0.0
Acer rubrum,,Durham,North Carolina,,718,34.70783368421053
Albizia saman,,Honolulu,Hawaii,,718,109.04908997214484
Pistacia chinensis,,Fresno,California,,713,0.0
Lagerstroemia,,Greensboro,North Carolina,,713,8.17203467948718
Juniperus virginiana,,Oklahoma City,Oklahoma,,711,80.08295105485232
Pyrus kawakamii,,Garden Grove,California,,710,103.02299690140845
Malus,,Detroit,Michigan,,706,0.0
Quercus bicolor,,Detroit,Michigan,,702,0.0
Celtis occidentalis,,Milwaukee,Wisconsin,,700,0.0
Magnolia grandiflora,,Garden Grove,California,,696,99.7686474137931
Cercis canadensis,,Arlington,Texas,,691,0.0
Taxodium distichum,,Dallas,Texas,,691,0.0
Lagerstroemia indica,,Oklahoma City,Oklahoma,,689,40.5367067053701
Ulmus americana,,Colorado Springs,Colorado,,686,0.0
Acer rubrum,,Knoxville,Tennessee,,683,0.0
Jacaranda acutifolia,,Garden Grove,California,,668,132.41234491017966
Ulmus americana,,Plano,Texas,,660,0.0
Other,,Waukee,Iowa,,644,0.0
Quercus palustris,,Providence,Rhode Island,,643,0.0
Fraxinus pennsylvanica,,New Berlin,Wisconsin,,639,0.0
Cocos nucifera,,Honolulu,Hawaii,,635,97.98086576377952
Quercus rubra,,Milwaukee,Wisconsin,,635,0.0
Other,,Richmond,Virginia,,623,0.0
Liriodendron tulipifera,,Detroit,Michigan,,622,0.0
Ilex cassine,,Cape Coral,Florida,,622,0.0
Picea pungens,,New Berlin,Wisconsin,,613,0.0
Lagerstroemia indica,,Austin,Texas,,609,46.14725031198686
Cornus florida,,Knoxville,Tennessee,,602,0.0
Washingtonia robusta,,Garden Grove,California,,596,278.40349496644296
Acer saccharum,,Knoxville,Tennessee,,594,0.0
Platanus acerifolia,,Garden Grove,California,,593,136.18528937605396
Quercus muehlenbergii,,Arlington,Texas,,590,0.0
Quercus fusiformis,,Austin,Texas,,590,108.61248623728814
Quercus lobata,,Fresno,California,,588,0.0
Pistacia chinensis,,Arlington,Texas,,587,0.0
Quercus stellata,,Oklahoma City,Oklahoma,,584,126.2336897260274
Crataegus,,Milwaukee,Wisconsin,,584,0.0
Quercus macrocarpa,,Arlington,Texas,,582,0.0
Taxodium distichum,,Arlington,Texas,,581,0.0
Zelkova serrata,,Detroit,Michigan,,580,0.0
Cassia nealiae,,Honolulu,Hawaii,,576,87.90685153558051
Ulmus parvifolia,,Durham,North Carolina,,573,37.282272727272726
Prunus,,Providence,Rhode Island,,572,0.0
Other,,Wauwatosa,Wisconsin,,568,0.0
Pistacia chinensis,,Oklahoma City,Oklahoma,,567,77.9069307936508
Other,,Pleasant Hill,Iowa,,564,0.0
Gleditsia triacanthos,,Colorado Springs,Colorado,,559,0.0
Quercus stellata,,Arlington,Texas,,558,0.0
Callistemon viminalis,,Tampa,Florida,,556,30.495316156424582
Cercis canadensis,,Durham,North Carolina,,537,15.773269230769229
Wodyetia bifurcata,,Cape Coral,Florida,,533,0.0
Populus,,Colorado Springs,Colorado,,526,0.0
Quercus phellos,,Greensboro,North Carolina,,523,8.14602802631579
Lagerstroemia indica,,Knoxville,Tennessee,,517,0.0
Juniperus silicicola,,Cape Coral,Florida,,514,0.0
Taxodium distichum,,Tampa,Florida,,498,69.56814586118253
Lagerstroemia indica,,Dallas,Texas,,497,0.0
Acer platanoides,,Colorado Springs,Colorado,,495,0.0
Quercus shumardii,,Austin,Texas,,485,80.96571950515465
Acer platanoides,,New Berlin,Wisconsin,,478,0.0
Quercus,,Santa Rosa,California,,468,107.81905811965811
Ulmus parvifolia,,Oklahoma City,Oklahoma,,455,100.89844861538461
Fraxinus americana,,Milwaukee,Wisconsin,,454,0.0
Pinus nigra,,Oklahoma City,Oklahoma,,453,68.31099973509934
Ulmus parvifolia,,Fresno,California,,444,0.0
Other,,Dunwoody,Georgia,,443,0.0
Fraxinus pennsylvanica,,Glendale,Wisconsin,,442,0.0
Carya illinoinensis,,Greensboro,North Carolina,,437,8.15948909090909
Pistacia chinensis,,Dallas,Texas,,427,0.0
Quercus macrocarpa,,Newton,Iowa,,426,0.0
Other,,Boston,Massachusetts,,425,0.0
Tilia americana,,Milwaukee,Wisconsin,,424,0.0
Tabebuia heterophylla,,Honolulu,Hawaii,,421,85.63693767220902
Other,,Miami,Florida,,414,0.0
Ulmus,,Greensboro,North Carolina,,405,8.150620380228137
Tilia cordata,,Watertown,Wisconsin,,401,0.0
Pyrus calleryana,,Watertown,Wisconsin,,397,0.0
Pinus edulis,,Colorado Springs,Colorado,,397,0.0
Quercus coccinea,,Fresno,California,,397,0.0
Malus tschonoskii,,Milwaukee,Wisconsin,,396,0.0
Other,,Glendale,Wisconsin,,391,0.0
Gleditsia triacanthos,,Watertown,Wisconsin,,385,0.0
Quercus shumardii,,Oklahoma City,Oklahoma,,383,109.98095237597911
Taxodium distichum,,Oklahoma City,Oklahoma,,377,101.6364200530504
Ulmus americana,,Durham,North Carolina,,375,29.42503375
Tabebuia heterophylla,,Kailua,Hawaii,,373,86.12205
Pistacia chinensis,,Durham,North Carolina,,363,18.747657142857143
Malus tschonoskii,,Watertown,Wisconsin,,354,0.0
Celtis occidentalis,,West Allis,Wisconsin,,348,0.0
Casuarina equisetifolia,,Kailua,Hawaii,,345,198.80555174418606
Acer saccharinum,,Worcester,Massachusetts,,342,0.0
Fraxinus americana,,Watertown,Wisconsin,,337,0.0
Tilia cordata,,Worcester,Massachusetts,,335,0.0
Acacia confusa,,Honolulu,Hawaii,,332,83.753738008658
Ginkgo biloba,,Fresno,California,,331,0.0
Ulmus pumila,,Oklahoma City,Oklahoma,,327,98.6158298470948
Quercus rubra,,Worcester,Massachusetts,,327,0.0
Quercus lyrata,,Durham,North Carolina,,326,22.793204210526316
Cercis canadensis,,Knoxville,Tennessee,,323,0.0
Quercus marilandica,,Oklahoma City,Oklahoma,,323,109.52723752321982
Quercus phellos,,Knoxville,Tennessee,,321,0.0
Fraxinus americana,,New Berlin,Wisconsin,,300,0.0
Adonidia merrillii,,Kaneohe,Hawaii,,297,35.349117845117846
Celtis occidentalis,,Greensboro,North Carolina,,295,8.170705918367346
Platanus acerifolia,,Fresno,California,,294,0.0
Ulmus parvifolia,,Dallas,Texas,,290,0.0
Liquidambar styraciflua,,Dallas,Texas,,287,0.0
Other,,West Allis,Wisconsin,,286,0.0
Syringa reticulata,,Watertown,Wisconsin,,285,0.0
Gleditsia triacanthos,,New Berlin,Wisconsin,,285,0.0
Celtis occidentalis,,Knoxville,Tennessee,,282,0.0
Platanus acerifolia,,Nashville,Tennessee,,281,0.0
Pyrus calleryana,,Worcester,Massachusetts,,270,0.0
Malus tschonoskii,,New Berlin,Wisconsin,,269,0.0
Pinus strobus,,Boston,Massachusetts,,267,0.0
Quercus palustris,,Worcester,Massachusetts,,265,0.0
Fraxinus pennsylvanica,,Wauwatosa,Wisconsin,,265,0.0
Ginkgo biloba,,Durham,North Carolina,,261,16.903458260869566
Fraxinus pennsylvanica,,Watertown,Wisconsin,,259,0.0
Conocarpus erectus,,Kailua,Hawaii,,251,50.66348940239044
Cornus florida,,Greensboro,North Carolina,,248,8.225011055555555
Acer saccharinum,,Watertown,Wisconsin,,244,0.0
Adonidia merrillii,,Honolulu,Hawaii,,243,43.2179787654321
Pinus pinea,,Fresno,California,,238,0.0
Tilia americana,,New Berlin,Wisconsin,,238,0.0
Acer saccharum,,Greensboro,North Carolina,,238,8.239033599999999
Gleditsia triacanthos,,West Allis,Wisconsin,,238,0.0
Other,,EastPoint,Georgia,,235,0.0
Ulmus americana,,Austin,Texas,,232,116.10213965517242
Quercus virginiana,,Fresno,California,,232,0.0
Acer saccharum,,Richmond,Virginia,,227,0.0
Fraxinus americana,,Worcester,Massachusetts,,225,0.0
Morus,,Greensboro,North Carolina,,222,8.169110952380953
Acer rubrum,,Greensboro,North Carolina,,221,8.168477262569832
Cercis canadensis,,Decatur,Georgia,,221,0.0
Juglans nigra,,Greensboro,North Carolina,,220,8.214012165605094
Cassia nealiae,,Kailua,Hawaii,,219,83.59400547945205
Fraxinus pennsylvanica,,Waukee,Iowa,,218,0.0
Ulmus pumila,,Albuquerque,New Mexico,,216,200.75948595744683
Pinus halepensis,,Fresno,California,,209,0.0
Fraxinus pennsylvanica,,Newton,Iowa,,205,0.0
Acer freemanii,,Watertown,Wisconsin,,204,0.0
Sequoia sempervirens,,Santa Rosa,California,,203,166.06222167487687
Other,,Bondurant,Iowa,,202,0.0
Other,,Dallas Center,Iowa,,200,0.0
Malus,,Waukee,Iowa,,200,0.0
Malus,,Pleasant Hill,Iowa,,200,0.0
Picea,,Waukee,Iowa,,199,0.0
Pinus strobus,,Knoxville,Tennessee,,199,0.0
Pinus strobus,,Newton,Iowa,,198,0.0
Pritchardia pacifica,,Honolulu,Hawaii,,186,60.78373462365591
Acer saccharum,,Wauwatosa,Wisconsin,,186,0.0
Acer saccharum,,Glendale,Wisconsin,,186,0.0
Platanus acerifolia,,Albuquerque,New Mexico,,186,128.6715957303371
Quercus palustris,,Knoxville,Tennessee,,184,0.0
Other,,Coon Rapids,Iowa,,184,0.0
Ulmus,,New Berlin,Wisconsin,,181,0.0
Ficus microcarpa,,Honolulu,Hawaii,,179,89.78073955056179
Filicium decipiens,,Kailua,Hawaii,,178,84.48626395480225
Acer platanoides,,Glendale,Wisconsin,,175,0.0
Acer saccharinum,,Knoxville,Tennessee,,172,0.0
Other,,Hales Corners,Wisconsin,,172,0.0
Quercus phellos,,Richmond,Virginia,,171,0.0
Acer platanoides,,Wauwatosa,Wisconsin,,171,0.0
Syringa reticulata,,Worcester,Massachusetts,,170,0.0
Cordia sebestena,,Kailua,Hawaii,,170,51.663580470588236
Quercus alba,,New Berlin,Wisconsin,,170,0.0
Celtis occidentalis,,Pleasant Hill,Iowa,,168,0.0
Other,,Monroe,Iowa,,167,0.0
Zelkova serrata,,Nashville,Tennessee,,166,0.0
Taxodium distichum,,Austin,Texas,,164,108.32773536585366
Celtis laevigata,,Austin,Texas,,163,79.54527411042945
Cassine orientalis,,Honolulu,Hawaii,,163,67.85099165644172
Tabebuia berteroi,,Honolulu,Hawaii,,161,63.00843031055901
Lagerstroemia indica,,Richmond,Virginia,,161,0.0
Quercus rubra,,Newton,Iowa,,160,0.0
Magnolia grandiflora,,Dallas,Texas,,159,0.0
Carya ovata,,New Berlin,Wisconsin,,159,0.0
Fraxinus pennsylvanica,,Coon Rapids,Iowa,,159,0.0
Gleditsia triacanthos,,Albuquerque,New Mexico,,159,79.35669369127517
Gleditsia triacanthos,,Wauwatosa,Wisconsin,,157,0.0
Abies,,Santa Rosa,California,,155,144.97079458064516
Cassia nealiae,,Kaneohe,Hawaii,,154,88.41224675324676
Other,,Windsor Heights,Iowa,,154,0.0
Quercus phellos,,Nashville,Tennessee,,154,0.0
Pyrus calleryana,,Dallas,Texas,,152,0.0
Malus,,Earlham,Iowa,,151,0.0
Malus,,Newton,Iowa,,151,0.0
Quercus rubra,,Wauwatosa,Wisconsin,,151,0.0
Acer rubrum,,Boston,Massachusetts,,151,0.0
Pinus nigra,,Albuquerque,New Mexico,,149,81.44071537414966
Fraxinus,,Albuquerque,New Mexico,,148,114.75859050359712
Fraxinus pennsylvanica,,Dallas Center,Iowa,,148,0.0
Acer rubrum,,Richmond,Virginia,,148,0.0
Acer saccharum,,Baxter,Iowa,,146,0.0
Other,,Carlisle,Iowa,,145,0.0
Tabebuia heterophylla,,Kaneohe,Hawaii,,145,93.0627235862069
Fraxinus pennsylvanica,,West Allis,Wisconsin,,144,0.0
Carya,,Newton,Iowa,,144,0.0
Other,,South Milwaukee,Wisconsin,,143,0.0
Juniperus virginiana,,Newton,Iowa,,142,0.0
Acer,,Newton,Iowa,,142,0.0
Other,,Jersey City,New Jersey,,139,0.0
Acer,,Santa Rosa,California,,139,63.23288028776979
Quercus palustris,,Richmond,Virginia,,133,0.0
Liquidambar styraciflua,,Nashville,Tennessee,,131,0.0
Zelkova serrata,,Richmond,Virginia,,129,0.0
Lagerstroemia indica,,Kaneohe,Hawaii,,129,82.83485178294573
Malus,,Albuquerque,New Mexico,,127,42.56750881355932
Other,,Unincorporated,Georgia,,126,0.0
Calophyllum inophyllum,,Kailua,Hawaii,,124,89.06280292682926
Fraxinus pennsylvanica,,Brown Deer,Wisconsin,,122,0.0
Tilia cordata,,Waukee,Iowa,,122,0.0
Ulmus parvifolia,,Nashville,Tennessee,,120,0.0
Ilex paraguariensis,,Kailua,Hawaii,,119,55.19530823529412
Other,,Cudahy,Wisconsin,,118,0.0
Other,,AvondaleEstates,Georgia,,118,0.0
Acer saccharum,,Earlham,Iowa,,118,0.0
Quercus rubra,,Glendale,Wisconsin,,116,0.0
Other,,Greenfield,Wisconsin,,116,0.0
Quercus rubra,,Boston,Massachusetts,,115,0.0
Other,,Adel,Iowa,,112,0.0
Fraxinus texensis,,Austin,Texas,,112,55.21770892857143
Pinus strobus,,Waukee,Iowa,,111,0.0
Thuja occidentalis,,Jersey City,New Jersey,,111,0.0
Acer saccharinum,,Glendale,Wisconsin,,111,0.0
Cercis canadensis,,Dunwoody,Georgia,,111,0.0
Celtis occidentalis,,Newton,Iowa,,109,0.0
Ulmus,,Albuquerque,New Mexico,,107,86.87916692307694
Other,,Greendale,Wisconsin,,107,0.0
Acer saccharinum,,Woodward,Iowa,,105,0.0
Morus,,Waukee,Iowa,,104,0.0
Cocos nucifera,,Kaneohe,Hawaii,,104,104.95533346153846
Acer saccharinum,,Dallas Center,Iowa,,103,0.0
Gleditsia triacanthos,,Waukee,Iowa,,103,0.0
Other,,Phoenix,Arizona,,102,292.35850000000005
Other,,Franklin,Wisconsin,,102,0.0
Quercus palustris,,Newton,Iowa,,102,0.0
Quercus rubra,,Jersey City,New Jersey,,101,0.0
Quercus alba,,Decatur,Georgia,,100,0.0
Celtis occidentalis,,Wauwatosa,Wisconsin,,100,0.0
Prunus yedoensis,,Nashville,Tennessee,,99,0.0
Other,,Woodward,Iowa,,97,0.0
Fraxinus pennsylvanica,,Adel,Iowa,,97,0.0
Fraxinus pennsylvanica,,Stuart,Iowa,,94,0.0
Acer saccharum,,Stuart,Iowa,,94,0.0
Acer saccharum,,Dallas Center,Iowa,,94,0.0
Quercus bicolor,,Jersey City,New Jersey,,92,0.0
Quercus rubra,,Pleasant Hill,Iowa,,91,0.0
Other,,SandySprings,Georgia,,91,0.0
Quercus macrocarpa,,Pleasant Hill,Iowa,,90,0.0
Acer saccharum,,Brown Deer,Wisconsin,,90,0.0
Fraxinus americana,,Wauwatosa,Wisconsin,,89,0.0
Ginkgo biloba,,Nashville,Tennessee,,89,0.0
Acer saccharinum,,Adel,Iowa,,89,0.0
Acer,,Waukee,Iowa,,88,0.0
Acer platanoides,,Coon Rapids,Iowa,,88,0.0
Prunus serotina,,Boston,Massachusetts,,87,0.0
Platanus acerifolia,,Santa Rosa,California,,87,93.22110896551723
Malus tschonoskii,,West Allis,Wisconsin,,87,0.0
Celtis occidentalis,,Waukee,Iowa,,85,0.0
Other,,Prairie City,Iowa,,85,0.0
Lagerstroemia,,EastPoint,Georgia,,84,0.0
Ulmus pumila,,Nashville,Tennessee,,84,0.0
Quercus rubra,,Brown Deer,Wisconsin,,84,0.0
Celtis occidentalis,,Glendale,Wisconsin,,83,0.0
Acer platanoides,,Dallas Center,Iowa,,83,0.0
Ulmus parvifolia,,Albuquerque,New Mexico,,82,76.73756935064935
Acer platanoides,,Woodward,Iowa,,81,0.0
Betula nigra,,Nashville,Tennessee,,81,0.0
Fraxinus,,Milo,Iowa,,81,0.0
Pinus strobus,,Pleasant Hill,Iowa,,80,0.0
Juniperus virginiana,,Dunwoody,Georgia,,79,0.0
Ulmus alata,,Richmond,Virginia,,79,0.0
Tilia cordata,,Jersey City,New Jersey,,78,0.0
Filicium decipiens,,Kaneohe,Hawaii,,77,96.16695948051948
Juglans nigra,,Glendale,Wisconsin,,77,0.0
Quercus shumardii,,Nashville,Tennessee,,77,0.0
Other,,Granger,Iowa,,77,0.0
Nyssa sylvatica,,Decatur,Georgia,,76,0.0
Arecaceae,,Kaneohe,Hawaii,,76,67.60257157894736
Tree,,Boston,Massachusetts,,74,0.0
Other,,Stuart,Iowa,,74,0.0
Crataegus,,Wauwatosa,Wisconsin,,74,0.0
Juglans nigra,,De Soto,Iowa,,73,0.0
Quercus buckleyi,,Albuquerque,New Mexico,,73,74.96222303030304
Fraxinus americana,,Waukee,Iowa,,72,0.0
Acer saccharinum,,Adair,Iowa,,72,0.0
Chrysophyllum oliviforme,,Kaneohe,Hawaii,,71,90.75450366197184
Acer saccharum,,West Allis,Wisconsin,,70,0.0
Acer saccharum,,Guthrie Center,Iowa,,68,0.0
Crataegus,,West Allis,Wisconsin,,68,0.0
Pyrus,,Santa Rosa,California,,68,64.6035994117647
Cornus florida,,Decatur,Georgia,,67,0.0
Other,,Mitchellville,Iowa,,66,0.0
Acer nigrum,,Woodward,Iowa,,66,0.0
Acer saccharinum,,Coon Rapids,Iowa,,65,0.0
Conocarpus erectus,,Kaneohe,Hawaii,,64,51.0580725
Celtis occidentalis,,Carlisle,Iowa,,64,0.0
Chilopsis linearis,,Albuquerque,New Mexico,,63,69.80269931034482
Gleditsia triacanthos,,Cudahy,Wisconsin,,63,0.0
Acer rubrum,,Jersey City,New Jersey,,63,0.0
Other,,Adair,Iowa,,63,0.0
Malus tschonoskii,,Wauwatosa,Wisconsin,,63,0.0
Platanus occidentalis,,Jersey City,New Jersey,,62,0.0
Acer saccharum,,Greenfield,Wisconsin,,61,0.0
Juglans nigra,,West Allis,Wisconsin,,61,0.0
Other,,Colfax,Iowa,,61,0.0
Malus,,Bondurant,Iowa,,61,0.0
Quercus nuttallii,,Unincorporated,Georgia,,61,0.0
Melaleuca quinquenervia,,Kaneohe,Hawaii,,60,96.292654
Other,,Milo,Iowa,,59,0.0
Celtis occidentalis,,Brown Deer,Wisconsin,,59,0.0
Acer saccharum,,Boston,Massachusetts,,59,0.0
Acer saccharinum,,Stuart,Iowa,,58,0.0
Other,,Brown Deer,Wisconsin,,58,0.0
Quercus rubra,,Franklin,Wisconsin,,57,0.0
Other,,Earlham,Iowa,,57,0.0
Fraxinus americana,,Glendale,Wisconsin,,57,0.0
Malus,,Adel,Iowa,,57,0.0
Magnolia,,Decatur,Georgia,,56,0.0
Nyssa sylvatica,,Doraville,Georgia,,56,0.0
Acer saccharum,,Panora,Iowa,,56,0.0
Acer saccharum,,Jersey City,New Jersey,,56,0.0
Malus,,Polk City,Iowa,,55,0.0
Picea,,Prairie City,Iowa,,55,0.0
Acer saccharum,,South Milwaukee,Wisconsin,,54,0.0
Fraxinus,,Carlisle,Iowa,,54,0.0
Ilex opaca,,Decatur,Georgia,,54,0.0
Fraxinus pennsylvanica,,Earlham,Iowa,,54,0.0
Cornus florida,,Dunwoody,Georgia,,54,0.0
Other,,Oak Creek,Wisconsin,,54,0.0
Acer saccharinum,,Colfax,Iowa,,53,0.0
Juglans nigra,,Carlisle,Iowa,,53,0.0
Fraxinus pennsylvanica,,Adair,Iowa,,53,0.0
Fraxinus pennsylvanica,,Richmond,Virginia,,53,0.0
Cercis canadensis,,Unincorporated,Georgia,,52,0.0
Acer buergerianum,,Hapeville,Georgia,,51,0.0
Catalpa,,Bondurant,Iowa,,51,0.0
Acer saccharinum,,Mitchellville,Iowa,,51,0.0
Quercus rubra,,Carlisle,Iowa,,51,0.0
Acer platanoides,,Stuart,Iowa,,50,0.0
Pinus strobus,,Dallas Center,Iowa,,50,0.0
Malus,,Decatur,Georgia,,50,0.0
Gleditsia triacanthos,,Glendale,Wisconsin,,49,0.0
Malus tschonoskii,,Glendale,Wisconsin,,49,0.0
Fraxinus pennsylvanica,,Bouton,Iowa,,49,0.0
Tilia americana,,Brown Deer,Wisconsin,,49,0.0
Fraxinus pennsylvanica,,Woodward,Iowa,,49,0.0
Malus,,Milo,Iowa,,48,0.0
Carpinus caroliniana,,Decatur,Georgia,,48,0.0
Acer rubrum,,EastPoint,Georgia,,48,0.0
Carya,,Pleasant Hill,Iowa,,48,0.0
Nyssa sylvatica,,Unincorporated,Georgia,,47,0.0
Acer saccharum,,Union,Iowa,,47,0.0
Fraxinus pennsylvanica,,Granger,Iowa,,46,0.0
Pyrus calleryana,,Richmond,Virginia,,46,0.0
Pinus elliottii,,Miami,Florida,,46,0.0
Fraxinus pennsylvanica,,Panora,Iowa,,45,0.0
Acer saccharum,,Colfax,Iowa,,45,0.0
Acer campestre,,Richmond,Virginia,,45,0.0
Tilia americana,,Pleasant Hill,Iowa,,45,0.0
Fraxinus americana,,South Milwaukee,Wisconsin,,45,0.0
Acer rubrum,,Decatur,Georgia,,45,0.0
Tilia americana,,Wauwatosa,Wisconsin,,44,0.0
Tsuga canadensis,,Boston,Massachusetts,,44,0.0
Fraxinus pennsylvanica,,Pleasant Hill,Iowa,,44,0.0
Acer saccharum,,Hales Corners,Wisconsin,,43,0.0
Acer platanoides,,West Allis,Wisconsin,,43,0.0
Fraxinus pennsylvanica,,Hales Corners,Wisconsin,,43,0.0
Pinus strobus,,Carlisle,Iowa,,43,0.0
Magnolia loebneri,,Decatur,Georgia,,42,0.0
Pinus rigida,,Boston,Massachusetts,,42,0.0
Ilex opaca,,Dunwoody,Georgia,,42,0.0
Lagerstroemia indica,,Unincorporated,Georgia,,42,0.0
Tilia americana,,West Allis,Wisconsin,,42,0.0
Malus,,Dallas Center,Iowa,,41,0.0
Tilia americana,,Cudahy,Wisconsin,,41,0.0
Quercus rubra,,West Allis,Wisconsin,,41,0.0
Sabal palmetto,,Miami,Florida,,41,0.0
Parrotia persica,,EastPoint,Georgia,,41,0.0
Fraxinus pennsylvanica,,Bondurant,Iowa,,40,0.0
Quercus rubra,,Coon Rapids,Iowa,,40,0.0
Acer nigrum,,Adel,Iowa,,40,0.0
Fraxinus pennsylvanica,,Windsor Heights,Iowa,,39,0.0
Pyrus,,Adel,Iowa,,39,0.0
Nyssa sylvatica,,Dunwoody,Georgia,,39,0.0
Other,,Hapeville,Georgia,,39,0.0
Juniperus virginiana,,Boston,Massachusetts,,39,0.0
Fraxinus pennsylvanica,,Guthrie Center,Iowa,,38,0.0
Quercus lyrata,,Unincorporated,Georgia,,38,0.0
Acer platanoides,,Adel,Iowa,,37,0.0
Quercus bicolor,,Pleasant Hill,Iowa,,37,0.0
Catalpa,,Pleasant Hill,Iowa,,37,0.0
Quercus rubra,,Oak Creek,Wisconsin,,37,0.0
Adonidia merrillii,,Miami,Florida,,36,0.0
Acer saccharinum,,Cudahy,Wisconsin,,36,0.0
Quercus shumardii,,Dunwoody,Georgia,,35,0.0
Acer rubrum,,Earlham,Iowa,,35,0.0
Pinus palustris,,Dunwoody,Georgia,,35,0.0
Cercis canadensis,,EastPoint,Georgia,,35,0.0
Gleditsia triacanthos,,Hales Corners,Wisconsin,,35,0.0
Other,,Sully,Iowa,,34,0.0
Acer saccharinum,,Bondurant,Iowa,,34,0.0
Other,,Dexter,Iowa,,34,0.0
Other,,CollegePark,Georgia,,34,0.0
Tilia cordata,,Coon Rapids,Iowa,,34,0.0
Other,,Baxter,Iowa,,34,0.0
Eugenia,,Miami,Florida,,34,0.0
Acer saccharum,,Cudahy,Wisconsin,,33,0.0
Quercus rubra,,Dallas Center,Iowa,,33,0.0
Other,,Redfield,Iowa,,33,0.0
Acer saccharinum,,Prairie City,Iowa,,33,0.0
Juniperus virginiana,,Jersey City,New Jersey,,33,0.0
Musa acuminata,,Miami,Florida,,33,0.0
Acer saccharinum,,Carlisle,Iowa,,33,0.0
Acer saccharinum,,Monroe,Iowa,,33,0.0
Ostrya virginiana,,Dunwoody,Georgia,,33,0.0
Quercus nuttallii,,EastPoint,Georgia,,33,0.0
Acer rubrum,,Unincorporated,Georgia,,33,0.0
Pyrus,,Windsor Heights,Iowa,,32,0.0
Cryptomeria japonica,,Dunwoody,Georgia,,32,0.0
Acer saccharinum,,Milo,Iowa,,32,0.0
Pseudopanax crassifolius,,Miami,Florida,,32,0.0
Other,,Fox Point,Wisconsin,,32,0.0
Acer rubrum,,Dunwoody,Georgia,,32,0.0
Fraxinus pennsylvanica,,Cudahy,Wisconsin,,32,0.0
Malus,,Dexter,Iowa,,31,0.0
Juglans nigra,,Kellogg,Iowa,,31,0.0
Celtis occidentalis,,South Milwaukee,Wisconsin,,31,0.0
Other,,Brookhaven,Georgia,,31,0.0
Fraxinus pennsylvanica,,Greendale,Wisconsin,,31,0.0
Gleditsia triacanthos,,Brown Deer,Wisconsin,,31,0.0
Ulmus americana,,Hapeville,Georgia,,31,0.0
Lagerstroemia indica,,Hapeville,Georgia,,30,0.0
Quercus alba,,Boston,Massachusetts,,30,0.0
Pinus,,Brown Deer,Wisconsin,,30,0.0
Quercus alba,,Unincorporated,Georgia,,30,0.0
Thuja occidentalis,,Prairie City,Iowa,,29,0.0
Acer saccharum,,Adel,Iowa,,29,0.0
Fraxinus,,Dexter,Iowa,,29,0.0
Acer buergerianum,,Unincorporated,Georgia,,29,0.0
Juglans nigra,,Hales Corners,Wisconsin,,29,0.0
Fraxinus,,Colfax,Iowa,,29,0.0
Cocos nucifera,,Miami,Florida,,28,0.0
Cercis canadensis,,Chamblee,Georgia,,28,0.0
Acer,,Colfax,Iowa,,28,0.0
Acer saccharum,,Monroe,Iowa,,28,0.0
Gleditsia triacanthos,,South Milwaukee,Wisconsin,,28,0.0
Quercus rubra,,South Milwaukee,Wisconsin,,28,0.0
Acer saccharinum,,Elkhart,Iowa,,28,0.0
Gleditsia triacanthos,,Franklin,Wisconsin,,27,0.0
Celtis occidentalis,,Greendale,Wisconsin,,27,0.0
Acer saccharinum,,Bouton,Iowa,,27,0.0
Acer platanoides,,Adair,Iowa,,27,0.0
Carya ovata,,Cudahy,Wisconsin,,27,0.0
Parrotia persica,,AvondaleEstates,Georgia,,27,0.0
Cercis canadensis,,Monroe,Iowa,,27,0.0
Acer saccharinum,,Guthrie Center,Iowa,,27,0.0
Pyrus,,Earlham,Iowa,,26,0.0
Acer saccharum,,Prairie City,Iowa,,26,0.0
Quercus falcata,,SandySprings,Georgia,,26,0.0
Populus,,Windsor Heights,Iowa,,26,0.0
Fraxinus pennsylvanica,,Mitchellville,Iowa,,26,0.0
Acer saccharum,,Coon Rapids,Iowa,,26,0.0
Malus,,Woodward,Iowa,,26,0.0
Acer saccharinum,,Earlham,Iowa,,26,0.0
Fraxinus pennsylvanica,,Greenfield,Wisconsin,,26,0.0
Quercus rubra,,Greenfield,Wisconsin,,26,0.0
Thuja occidentalis,,Fox Point,Wisconsin,,25,0.0
Celtis occidentalis,,Monroe,Iowa,,25,0.0
Malus,,Windsor Heights,Iowa,,25,0.0
Acer platanoides,,Earlham,Iowa,,25,0.0
Quercus alba,,Greenfield,Wisconsin,,25,0.0
Acer buergerianum,,EastPoint,Georgia,,25,0.0
Acer platanoides,,Greenfield,Wisconsin,,25,0.0
Other,,Bouton,Iowa,,25,0.0
Juglans nigra,,Woodward,Iowa,,25,0.0
Acer rubrum,,Dallas Center,Iowa,,25,0.0
Acer saccharum,,Dexter,Iowa,,25,0.0
Malus tschonoskii,,Oak Creek,Wisconsin,,25,0.0
Pinus,,Santa Rosa,California,,24,121.66448333333334
Other,,Panora,Iowa,,24,0.0
Cercis canadensis,,AvondaleEstates,Georgia,,24,0.0
Celtis occidentalis,,Earlham,Iowa,,24,0.0
Malus,,Carlisle,Iowa,,24,0.0
Quercus macrocarpa,,Dallas Center,Iowa,,24,0.0
Malus tschonoskii,,Franklin,Wisconsin,,24,0.0
Celtis occidentalis,,Woodward,Iowa,,24,0.0
Acer platanoides,,Hales Corners,Wisconsin,,24,0.0
Magnolia,,EastPoint,Georgia,,24,0.0
